area,year,month,CACI,component_count,T90,T10,P,D,W
Province:Liaoning,1984,9,-0.16709840700489026,5,-0.989248099614398,-0.23985098450033954,-0.46253176523046213,0.2986161032182249,0.07782074210184436
Province:Liaoning,1984,10,0.3593114644386567,5,-0.17919940824154612,0.25189695319394134,0.03827805636836415,0.32076942345010173,1.868606203810305
Province:Liaoning,1984,11,0.4650484546120196,5,0.9021133407482094,-0.3454293724290598,-0.10078594497595185,0.3382891325827603,0.8401963722760205
Province:Liaoning,1984,12,-0.16726972734565276,5,-0.1767853725095543,0.9312025682304851,1.0891802053258433,-1.150006558669902,0.33246565735583433
Province:Liaoning,1985,1,-0.47293819814918336,5,-1.0748320502509325,1.7085869236496045,1.0418424126504302,-0.8388369959829215,0.2157225664871119
Province:Liaoning,1985,2,-0.4597187426752892,5,-0.22200979720139855,2.3084086081369395,-0.3906812876965589,-0.9824116008813505,1.6049175805398013
Province:Liaoning,1985,3,-0.7534969073146478,5,-1.2004992485491561,1.69282948960349,-0.2339946036309355,-1.1320971224168848,0.49193592762722704
Province:Liaoning,1985,4,0.0689335084697162,5,-0.9198603286690124,-0.39266323735832076,0.47631141318181586,-1.2834184216153308,1.6789716420927876
Province:Liaoning,1985,5,-0.6895281813919125,5,-0.853981496913475,1.3811955105393507,-0.16168209925681867,-1.4304297868186866,0.3796479865687679
Province:Liaoning,1985,6,-0.7046073913242015,5,-0.8922747730535683,0.8220083783244915,-1.675506087676306,-1.566368113108601,1.4331203955419587
Province:Liaoning,1985,7,-0.24244922981891576,5,-0.7819335681066099,-0.3930518065686072,0.576869183917536,-1.6848011508345642,0.28456757936045174
Province:Liaoning,1985,8,-0.21322405722564658,5,-0.9398258119837114,-0.3206453108313671,0.873891595093431,-1.780929483993798,0.46009810392447853
Province:Liaoning,1985,9,-1.1277495798256356,5,-1.0338250510786906,2.196594151857491,-0.5854206439018778,-1.8525078897411347,0.029599837451017554
Province:Liaoning,1985,10,-0.3521642119677052,5,-0.13391126555808733,-0.8554678317728113,-0.7968186093116097,-1.9000029156489637,0.21444389890732343
Province:Liaoning,1985,11,-0.5241635420712096,5,-1.024931395971588,-0.1926000194088012,-0.5051018324184119,-1.9260167493497313,0.6426322479748814
Province:Liaoning,1985,12,-0.9661954852185743,5,-0.9402948324619431,3.244597863744481,-0.20775947517831417,-1.391473921616537,0.9531486669084024
Province:Liaoning,1986,1,-0.2649454887666801,5,-0.634437925435706,0.7889980287029266,-0.2591303817924968,-1.0594305631201724,1.417269455217901
Province:Liaoning,1986,2,-0.5677736040069579,5,-0.9503813767462751,0.18929617465244195,-0.8598513034740018,-1.0362415614310259,0.19690239626895545
Province:Liaoning,1986,3,-0.2850895788112383,5,-0.08447988884302063,-0.9030289935926613,-0.26403059788296834,-1.0023124230336082,-0.9776539778892557
Province:Liaoning,1986,4,-0.3903866674447916,5,-0.7351619390536515,0.7270412098180373,-0.708494120764963,-0.9558579376221129,1.1746218700348066
Province:Liaoning,1986,5,-0.34509054901408265,5,0.6074349573793236,1.028450072981864,-0.878155394580039,-0.8958078580773408,0.469525623189507
Province:Liaoning,1986,6,-0.2082289590204216,5,-0.22188239091568718,-0.45544104008277614,-0.5491673231371784,-0.8222994263545945,0.09676330522257608
Province:Liaoning,1986,7,-0.6374825945368352,5,-0.9076292928531412,1.2802876918047656,-1.2834086850177213,-0.7369824910794016,1.0208951880708537
Province:Liaoning,1986,8,-0.6149030903259513,5,-1.5628495903187969,2.8982001929810592,0.3484105200327007,-0.6429287398535453,1.6810525514909442
Province:Liaoning,1986,9,-0.715096527220931,5,-1.5069523528023803,1.4909169267697246,-0.0630533153470908,-0.5441043711379103,0.029544329952451338
Province:Liaoning,1986,10,-0.7643099318378177,5,-1.1930835584744828,2.0865966087736854,-0.47773940951264154,-0.4446037428318807,0.38047366040360187
Province:Liaoning,1986,11,-0.27699440217065885,5,-1.0584994297164534,-0.4727871666126087,-0.829195281147422,-0.347957128440803,0.3778926618387753
Province:Liaoning,1986,12,0.2754311947318482,5,0.046996937510622824,0.21367649561313834,-0.4877974569312645,0.0971392303191704,1.9344937583738504
Province:Liaoning,1987,1,0.32336106080288435,5,-0.14758839271555396,0.39582969347375807,-0.07788135520585406,-0.21851434577222706,2.456619091181815
Province:Liaoning,1987,2,0.1960531916124144,5,0.22146778471837078,1.5542861007913558,0.053572107999606294,-0.34704517251328065,2.6065573386487313
Province:Liaoning,1987,3,-0.10261006658773023,5,-1.2558891249662567,1.9204560268980098,0.6435406876828806,-0.4853924212827987,2.505146552525533
Province:Liaoning,1987,4,-0.024947963789603556,5,-1.0785385312320448,1.7518602347370336,1.0918370614675934,-0.6306673728920928,2.24448925844556
Province:Liaoning,1987,5,-0.5883803926543203,5,-0.7205879136420547,2.077950964177817,-0.8720916717824602,-0.7784520810258735,1.5071806673566035
Province:Liaoning,1987,6,-0.5464806705914118,5,-0.6459226669856678,1.3661006752850682,-0.9980691603331394,-0.9231176447251564,1.2008067943719727
Province:Liaoning,1987,7,-0.7692979579045226,5,-0.7671458357834885,1.5060509870341974,-1.404706207691774,-1.0586335535392601,0.8900467945261067
Province:Liaoning,1987,8,-0.34357580609073113,5,-1.0365651862813854,0.42160911430769776,-0.043387812447312796,-1.1796799898364523,0.9633630724191924
Province:Liaoning,1987,9,0.1859943813218341,5,-0.33102941277272674,1.2625965912541315,0.10843093004748977,-1.282641307928386,3.697808288516925
Province:Liaoning,1987,10,0.42005366451030035,5,0.950422700983461,-0.3323808928928314,-0.7070870576821098,-1.3660772308982287,2.8906290172555478
Province:Liaoning,1987,11,-0.13699905299654674,5,-0.7988267688346509,0.9126836219305041,-0.24080350883176038,-1.4305569993290241,2.6978756339432057
