province,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
Jilin,2024,Autumn,P,35.770000523131166,3,6,10,23.090290797011214,7.713248741560856,21,1.6438870508348316
Jilin,2024,Autumn,T10,3.193713411331601,3,6,10,9.589212469633953,4.647280796885773,30,-1.376180897566614
Jilin,2024,Autumn,T90,21.856368937516766,3,6,10,9.563824829850114,4.422061468886955,30,2.7798220793978965
Jilin,2024,Autumn,W,4.7043424070413975,3,6,10,6.347817724080207,3.3587143097765035,30,-0.4893167937073429
Jilin,2024,Spring,D,38.333333333333336,3,1,1,40.01292162135789,4.630291587445676,18,-0.3627392047141264
Jilin,2024,Spring,P,38.44596089244045,3,6,10,19.112087749660873,4.983801263794145,21,3.879342718425492
Jilin,2024,Spring,T10,6.780241969327384,3,6,10,9.58424491560105,4.3716596561341285,30,-0.6414046762170076
Jilin,2024,Spring,T90,17.86122080240509,3,6,10,9.623019995537119,5.1727807945795385,30,1.5926058215149246
Jilin,2024,Spring,W,3.072066738197743,3,6,10,6.669476365736921,3.564180671882334,30,-1.0093230278473215
Jilin,2024,Summer,D,34.833333333333336,3,1,1,40.0898567490524,4.589674426526759,18,-1.1452933099869014
Jilin,2024,Summer,P,125.2,3,1,1,60.7921244642874,12.595080173489773,20,5.113732874148655
Jilin,2024,Summer,T10,3.3685938976811283,3,6,10,9.615492988035236,3.7515103734703086,30,-1.665169083505814
Jilin,2024,Summer,T90,24.166576754688275,3,6,10,9.583001016094654,6.472096141548924,30,2.253300232203199
Jilin,2024,Summer,W,4.137030243694732,3,6,10,6.59529494499161,3.171245783403919,30,-0.7751731871940406
Jilin,2024,Winter,D,38.15581142333014,3,3,4,39.7559892425058,5.417071319616268,18,-0.2953953759813169
Jilin,2024,Winter,P,10.878596363715578,3,6,10,4.4321703099494325,1.3715696749869084,19,4.700035420240446
Jilin,2024,Winter,T10,11.370545527824424,3,6,10,9.551527418618987,7.670529064146335,29,0.2371437607489046
Jilin,2024,Winter,T90,14.369408357603433,3,6,10,9.91376159424016,5.333592775536447,29,0.8353931300867132
Jilin,2024,Winter,W,7.637762574676834,3,6,10,6.3730096856980705,2.521033451049837,29,0.5016803281416518
Jilin,2025,Spring,P,41.86666666666668,3,1,1,19.112087749660873,4.983801263794145,21,4.565707521748741
Jilin,2025,Spring,T10,7.328425192599769,3,6,10,9.58424491560105,4.3716596561341285,30,-0.5160099139547629
Jilin,2025,Spring,T90,16.309979191630763,3,6,10,9.623019995537119,5.1727807945795385,30,1.2927203880552576
Jilin,2025,Spring,W,3.044088114030231,3,6,10,6.669476365736921,3.564180671882334,30,-1.0171729733869048
Jilin,2025,Summer,P,160.6,3,1,1,60.7921244642874,12.595080173489773,20,7.924354125652096
Jilin,2025,Summer,T10,2.7399280743268903,3,6,10,9.615492988035236,3.7515103734703086,30,-1.8327458088162374
Jilin,2025,Summer,T90,27.814989907155464,3,6,10,9.583001016094654,6.472096141548924,30,2.8170145332077015
Jilin,2025,Summer,W,5.293485430790968,3,6,10,6.59529494499161,3.171245783403919,30,-0.41050413721112455
Jilin,2025,Winter,P,4.5872605316800295,3,3,4,4.4321703099494325,1.3715696749869084,19,0.11307498595146272
Jilin,2025,Winter,T10,5.211619830078055,3,6,10,9.551527418618987,7.670529064146335,29,-0.5657898630260815
Jilin,2025,Winter,T90,14.586852369623486,3,6,10,9.91376159424016,5.333592775536447,29,0.8761618991268623
Jilin,2025,Winter,W,7.582156548680319,3,6,10,6.3730096856980705,2.521033451049837,29,0.4796234903105797
Sichuan,1981,Autumn,P,85.34971241272314,3,10,27,43.36873841998258,11.016936492448716,22,3.8105850951864313
Sichuan,1981,Autumn,T10,15.148599881644563,3,10,27,9.544243726016427,3.5058379676933678,30,1.598578202208092
Sichuan,1981,Autumn,T90,9.705379100386851,3,10,27,9.753462405572497,4.188285531838906,30,-0.011480426733115858
Sichuan,1981,Autumn,W,13.924746392466139,3,10,27,5.644962951514747,2.554473532043403,30,3.2412876223180653
Sichuan,1981,Spring,P,122.02328250629957,3,10,27,35.10831074738799,19.501496209072073,22,4.456836071812727
Sichuan,1981,Spring,T10,9.524580243751,3,10,27,9.573044582583266,2.936297733517695,30,-0.016505253632507443
Sichuan,1981,Spring,T90,7.090265105511489,3,10,27,9.734480970568383,3.8672044328362354,30,-0.6837538358730125
Sichuan,1981,Spring,W,9.548787202509567,3,10,27,6.612149034629258,3.0677955358186417,30,0.9572470308379488
Sichuan,1981,Summer,P,125.35523061640644,3,10,27,85.35428319540843,13.940560228158102,27,2.8693931066128426
Sichuan,1981,Summer,T10,5.819689007317528,3,10,27,9.546425171271922,2.8871947913228797,30,-1.2907809944637805
Sichuan,1981,Summer,T90,11.49699606243386,3,10,27,9.658438740060257,4.656581211549224,30,0.3948298631222461
Sichuan,1981,Summer,W,8.797853952490069,3,10,27,5.678813941915975,2.515930324046414,30,1.239716370824486
Sichuan,1982,Autumn,D,27.69517954810856,3,10,23,36.01157026186942,4.363980711023046,18,-1.9056891550309478
Sichuan,1982,Autumn,P,46.13840678693213,3,10,31,43.36873841998258,11.016936492448716,22,0.25140095605052754
Sichuan,1982,Autumn,T10,11.951092154100484,3,10,27,9.544243726016427,3.5058379676933678,30,0.6865258606539708
Sichuan,1982,Autumn,T90,6.326149279008828,3,10,27,9.753462405572497,4.188285531838906,30,-0.8183093297984572
Sichuan,1982,Autumn,W,8.782516231053828,3,10,27,5.644962951514747,2.554473532043403,30,1.2282582849974784
Sichuan,1982,Spring,D,23.604401591257268,3,10,23,35.62216667444118,4.498127019049965,18,-2.671726483553625
Sichuan,1982,Spring,P,25.71109278834417,3,10,27,35.10831074738799,19.501496209072073,22,-0.4818716399140823
Sichuan,1982,Spring,T10,13.192587366836845,3,10,23,9.573044582583266,2.936297733517695,30,1.2326892954132935
Sichuan,1982,Spring,T90,6.775825193867014,3,10,23,9.734480970568383,3.8672044328362354,30,-0.7650631943787541
Sichuan,1982,Spring,W,12.777323422813323,3,10,23,6.612149034629258,3.0677955358186417,30,2.0096431839088935
Sichuan,1982,Summer,D,25.64979056968291,3,10,23,35.816868468155306,4.0122110401481335,18,-2.534033677873789
Sichuan,1982,Summer,P,66.50303977795436,3,10,28,85.35428319540843,13.940560228158102,27,-1.3522586688716451
Sichuan,1982,Summer,T10,15.328383598019753,3,10,24,9.546425171271922,2.8871947913228797,30,2.002621521805463
Sichuan,1982,Summer,T90,5.732243473042307,3,10,24,9.658438740060257,4.656581211549224,30,-0.8431497462731293
Sichuan,1982,Summer,W,8.342210301170859,3,10,24,5.678813941915975,2.515930324046414,30,1.0586129249284204
Sichuan,1982,Winter,D,21.257673331120888,3,10,24,35.413608706671255,5.646026570785628,18,-2.5072385328113347
Sichuan,1982,Winter,T10,11.807928911579163,3,10,24,9.656063672949251,4.855335627141959,29,0.4431959814684497
Sichuan,1982,Winter,T90,7.703621178008398,3,10,24,9.853718216367813,3.8582222407813536,29,-0.5572766170991708
Sichuan,1982,Winter,W,7.044831545170041,3,10,24,5.340868267683913,2.1958309374255727,29,0.7759993032450312
Sichuan,1983,Autumn,D,36.4398888517742,3,10,23,36.01157026186942,4.363980711023046,18,0.09814859832512092
Sichuan,1983,Autumn,P,51.802126585958085,3,10,27,43.36873841998258,11.016936492448716,22,0.7654930362679283
Sichuan,1983,Autumn,T10,6.211240398120739,3,10,27,9.544243726016427,3.5058379676933678,30,-0.9507009047792946
Sichuan,1983,Autumn,T90,9.612791202534043,3,10,27,9.753462405572497,4.188285531838906,30,-0.03358682257192998
Sichuan,1983,Autumn,W,8.052410488122993,3,10,27,5.644962951514747,2.554473532043403,30,0.9424437193845003
Sichuan,1983,Spring,D,32.01121886094507,3,10,23,35.62216667444118,4.498127019049965,18,-0.8027669734988425
Sichuan,1983,Spring,P,33.27762601998693,3,10,27,35.10831074738799,19.501496209072073,22,-0.09387406523964167
Sichuan,1983,Spring,T10,13.435695957384908,3,10,27,9.573044582583266,2.936297733517695,30,1.3154835528800997
