province,wmo_id,usaf_prefix,lat_table,lon_table,elev_table_m
Hebei,54603,546030,38.71666666666667,115.76666666666667,11.2
Hebei,54604,546040,38.416666666666664,115.33333333333333,30.8
Hebei,54605,546050,38.93333333333333,115.93333333333334,5.6
Hebei,54606,546060,38.233333333333334,115.73333333333333,20.2
Hebei,54607,546070,38.71666666666667,115.11666666666666,46.2
Hebei,54608,546080,38.0,115.55,27.3
Hebei,54609,546090,38.233333333333334,115.58333333333333,23.6
Hebei,54610,546100,38.733333333333334,116.1,9.2
Hebei,54611,546110,38.93333333333333,115.31666666666666,45.9
Hebei,54612,546120,38.85,116.45,5.4
Hebei,54613,546130,38.7,116.61666666666666,8.0
Hebei,54614,546140,38.416666666666664,116.05,12.4
Hebei,54615,546150,38.583333333333336,116.85,9.3
Hebei,54616,546160,38.35,116.85,9.1
Hebei,54617,546170,38.18333333333333,116.11666666666666,14.4
Hebei,54618,546180,38.083333333333336,116.55,14.3
Hebei,54620,546200,38.483333333333334,115.56666666666666,19.7
Hebei,54621,546210,38.18333333333333,115.18333333333334,39.3
Hebei,54624,546240,38.4,117.31666666666666,6.0
Hebei,54626,546260,38.416666666666664,115.81666666666666,15.1
Hebei,54627,546270,38.03333333333333,117.23333333333333,9.4
Hebei,54628,546280,38.15,117.48333333333333,7.6
Hebei,54631,546310,37.06666666666667,115.15,33.6
Hebei,54632,546320,37.06666666666667,115.03333333333333,35.2
Hebei,54633,546330,37.516666666666666,115.23333333333333,27.5
Hebei,54636,546360,39.016666666666666,116.1,12.2
Hebei,54640,546400,36.916666666666664,114.86666666666666,37.2
Hebei,54644,546440,38.05,117.11666666666666,11.7
Hebei,54700,547000,38.03333333333333,115.93333333333334,17.4
Hebei,54701,547010,37.93333333333333,115.2,36.9
Hebei,54702,547020,37.733333333333334,115.7,21.9
Hebei,54703,547030,37.8,115.88333333333334,22.5
Hebei,54704,547040,37.516666666666666,115.56666666666666,26.0
Hebei,54705,547050,37.36666666666667,115.38333333333334,28.6
Hebei,54706,547060,37.083333333333336,115.66666666666667,32.7
Hebei,54707,547070,37.35,115.98333333333333,28.6
Hebei,54708,547080,37.5,115.73333333333333,24.7
Hebei,54710,547100,37.86666666666667,116.16666666666667,19.8
Hebei,54711,547110,37.7,116.28333333333333,19.5
Hebei,54713,547130,37.88333333333333,116.53333333333333,15.6
Hebei,54717,547170,37.63333333333333,116.4,18.3
Hebei,54719,547190,38.03333333333333,116.68333333333334,12.3
Hebei,54800,548000,37.0,115.25,34.5
Hebei,54801,548010,36.85,115.48333333333333,36.5
Hebei,54804,548040,36.3,115.13333333333334,46.0
Hebei,54809,548090,36.55,115.28333333333333,42.5
Hebei,54820,548200,36.81666666666667,115.16666666666667,37.9
Henan,53889,538890,36.06666666666667,113.81666666666666,308.6
Henan,53898,538980,36.05,114.13333333333334,195.7
Henan,53972,539720,35.05,112.9,118.5
Henan,53974,539740,35.61666666666667,114.23333333333333,71.3
Henan,53978,539780,35.083333333333336,112.63333333333334,140.9
Henan,53979,539790,35.15,113.08333333333333,121.1
Henan,53982,539820,35.233333333333334,113.26666666666667,113.5
Henan,53983,539830,35.03333333333333,114.41666666666667,70.8
Henan,53984,539840,35.233333333333334,113.46666666666667,83.7
Henan,53985,539850,35.5,113.81666666666666,142.2
Henan,53986,539860,35.31666666666667,113.88333333333334,74.2
Henan,53987,539870,35.1,113.35,95.5
Henan,53988,539880,35.266666666666666,113.66666666666667,78.8
Henan,53989,539890,35.083333333333336,113.98333333333333,76.9
Henan,53991,539910,35.916666666666664,114.33333333333333,93.9
Henan,53992,539920,35.65,114.51666666666667,59.2
Henan,53993,539930,35.93333333333333,114.91666666666667,52.4
Henan,53994,539940,35.38333333333333,114.06666666666666,71.2
Henan,53995,539950,35.55,114.5,64.5
Henan,53997,539970,35.15,114.18333333333334,72.3
Henan,53998,539980,35.2,114.65,62.5
Henan,54817,548170,35.983333333333334,115.86666666666666,43.1
Henan,54900,549000,35.7,115.01666666666667,54.7
Henan,54901,549010,36.083333333333336,115.16666666666667,48.5
Henan,54902,549020,35.9,115.11666666666666,50.5
Henan,54903,549030,35.85,115.48333333333333,50.6
Henan,57051,570510,34.8,111.2,410.9
Henan,57056,570560,34.53333333333333,110.85,485.5
Henan,57063,570630,34.766666666666666,111.76666666666667,523.6
Henan,57066,570660,34.4,111.66666666666667,408.7
Henan,57070,570700,34.733333333333334,112.11666666666666,359.5
Henan,57071,570710,34.81666666666667,112.43333333333334,333.2
Henan,57072,570720,34.916666666666664,112.75,128.5
Henan,57074,570740,34.416666666666664,112.4,246.9
Henan,57075,570750,34.166666666666664,112.86666666666666,204.3
Henan,57076,570760,34.733333333333334,112.78333333333333,190.1
Henan,57078,570780,34.15,112.46666666666667,334.0
Henan,57079,570790,34.95,113.03333333333333,106.9
Henan,57080,570800,34.733333333333334,112.96666666666667,166.1
Henan,57081,570810,34.8,113.43333333333334,141.9
Henan,57082,570820,34.46666666666667,113.01666666666667,428.4
Henan,57083,570830,34.71666666666667,113.65,111.6
Henan,57084,570840,34.5,113.05,1179.0
Henan,57085,570850,34.53333333333333,113.33333333333333,264.8
Henan,57086,570860,34.38333333333333,113.71666666666667,116.8
Henan,57087,570870,34.266666666666666,113.73333333333333,105.0
Henan,57088,570880,34.15,113.5,117.7
Henan,57089,570890,34.06666666666667,113.93333333333334,68.2
Henan,57090,570900,34.71666666666667,113.96666666666667,80.2
Henan,57091,570910,34.78333333333333,114.3,74.8
Henan,57093,570930,34.85,114.81666666666666,74.0
Henan,57094,570940,34.4,114.21666666666667,68.5
Henan,57095,570950,34.11666666666667,114.15,62.2
Henan,57096,570960,34.53333333333333,114.78333333333333,60.7
Henan,57098,570980,34.083333333333336,114.4,59.3
Henan,57099,570990,34.06666666666667,114.85,53.6
Henan,57156,571560,33.3,111.5,251.3
Henan,57162,571620,34.13333333333333,112.06666666666666,439.7
Henan,57169,571690,33.05,111.86666666666666,160.0
Henan,57173,571730,33.75,112.88333333333334,146.8
Henan,57175,571750,33.05,112.23333333333333,192.2
Henan,57176,571760,33.483333333333334,112.41666666666667,230.4
Henan,57177,571770,33.333333333333336,113.53333333333333,91.3
Henan,57178,571780,33.1,112.48333333333333,181.6
Henan,57179,571790,33.28333333333333,113.0,161.6
Henan,57180,571800,33.983333333333334,113.2,118.6
Henan,57181,571810,33.88333333333333,113.05,137.4
Henan,57182,571820,33.85,113.51666666666667,81.4
Henan,57183,571830,33.8,113.91666666666667,65.2
Henan,57184,571840,33.63333333333333,113.3,98.5
Henan,57185,571850,33.45,113.58333333333333,92.1
Henan,57186,571860,33.6,114.05,59.8
Henan,57187,571870,33.06666666666667,112.93333333333334,119.3
Henan,57188,571880,33.36666666666667,114.03333333333333,56.8
Henan,57189,571890,33.13333333333333,113.95,65.5
Henan,57190,571900,33.75,114.4,51.6
Henan,57191,571910,34.483333333333334,114.48333333333333,64.2
Henan,57192,571920,33.733333333333334,114.85,46.6
Henan,57193,571930,33.78333333333333,114.51666666666667,53.6
Henan,57194,571940,33.28333333333333,114.26666666666667,60.9
Henan,57195,571950,33.61666666666667,114.61666666666666,47.6
Henan,57196,571960,33.46666666666667,114.86666666666666,42.8
Henan,57197,571970,32.96666666666667,114.35,51.1
Henan,57198,571980,33.5,114.56666666666666,45.6
Henan,57261,572610,33.11666666666667,111.51666666666667,234.5
Henan,57271,572710,32.516666666666666,112.38333333333334,88.7
Henan,57273,572730,32.68333333333333,112.85,110.5
Henan,57274,572740,32.7,112.11666666666666,108.8
Henan,57281,572810,32.7,113.3,143.1
Henan,57285,572850,32.38333333333333,113.41666666666667,154.0
Henan,57290,572900,32.93333333333333,113.91666666666667,107.2
Henan,57292,572920,32.96666666666667,114.63333333333334,45.3
Henan,57293,572930,32.733333333333334,114.98333333333333,39.1
Henan,57294,572940,32.833333333333336,114.01666666666667,84.6
Henan,57295,572950,32.61666666666667,114.35,80.2
Henan,57296,572960,32.35,114.73333333333333,50.1
Henan,57297,572970,32.13333333333333,114.05,115.4
Henan,57298,572980,32.21666666666667,114.55,56.2
Henan,57299,572990,32.016666666666666,114.9,50.6
